"NOC","Year","Season","Medal","Count"
"GER",1980,"Summer","Gold",0
"POL",1980,"Summer","Gold",3
"TCH",1980,"Summer","Gold",17
"FRG",1980,"Summer","Gold",0
"KOR",1980,"Summer","Gold",0
"CHN",1980,"Summer","Gold",0
"DEN",1984,"Summer","Gold",0
"FIN",1984,"Summer","Gold",4
"NOR",1984,"Summer","Gold",0
"NED",1984,"Summer","Gold",20
"FRA",1984,"Summer","Gold",20
"ITA",1984,"Summer","Gold",29
"ESP",1984,"Summer","Gold",2
"RUS",1984,"Summer","Gold",0
"USA",1984,"Summer","Gold",186
"HUN",1984,"Summer","Gold",0
"AUS",1984,"Summer","Gold",7
"CAN",1984,"Summer","Gold",19
"URS",1984,"Summer","Gold",0
"JPN",1984,"Summer","Gold",10
"SUI",1984,"Summer","Gold",0
"GDR",1984,"Summer","Gold",0
"SWE",1984,"Summer","Gold",3
"GBR",1984,"Summer","Gold",9
"ROU",1984,"Summer","Gold",40
"GER",1984,"Summer","Gold",0
"POL",1984,"Summer","Gold",0
"TCH",1984,"Summer","Gold",0
"FRG",1984,"Summer","Gold",30
"KOR",1984,"Summer","Gold",6
"CHN",1984,"Summer","Gold",24
"DEN",1988,"Summer","Gold",3
"FIN",1988,"Summer","Gold",1
"NOR",1988,"Summer","Gold",2
"NED",1988,"Summer","Gold",3
"FRA",1988,"Summer","Gold",12
"ITA",1988,"Summer","Gold",11
"ESP",1988,"Summer","Gold",1
"RUS",1988,"Summer","Gold",0
"USA",1988,"Summer","Gold",87
"HUN",1988,"Summer","Gold",20
"AUS",1988,"Summer","Gold",18
"CAN",1988,"Summer","Gold",4
"URS",1988,"Summer","Gold",134
"JPN",1988,"Summer","Gold",4
"SUI",1988,"Summer","Gold",0
"GDR",1988,"Summer","Gold",79
"SWE",1988,"Summer","Gold",0
"GBR",1988,"Summer","Gold",22
"ROU",1988,"Summer","Gold",8
"GER",1988,"Summer","Gold",0
"POL",1988,"Summer","Gold",2
"TCH",1988,"Summer","Gold",3
"FRG",1988,"Summer","Gold",32
"KOR",1988,"Summer","Gold",28
"CHN",1988,"Summer","Gold",6
"DEN",1992,"Summer","Gold",3
"FIN",1992,"Summer","Gold",1
"NOR",1992,"Summer","Gold",2
"NED",1992,"Summer","Gold",5
"FRA",1992,"Summer","Gold",9
"ITA",1992,"Summer","Gold",21
"ESP",1992,"Summer","Gold",48
"RUS",1992,"Summer","Gold",0
"USA",1992,"Summer","Gold",89
"HUN",1992,"Summer","Gold",14
"AUS",1992,"Summer","Gold",14
"CAN",1992,"Summer","Gold",27
"URS",1992,"Summer","Gold",0
"JPN",1992,"Summer","Gold",3
"SUI",1992,"Summer","Gold",1
"GDR",1992,"Summer","Gold",0
"SWE",1992,"Summer","Gold",1
"GBR",1992,"Summer","Gold",8
"ROU",1992,"Summer","Gold",8
"GER",1992,"Summer","Gold",81
"POL",1992,"Summer","Gold",5
"TCH",1992,"Summer","Gold",4
"FRG",1992,"Summer","Gold",0
"KOR",1992,"Summer","Gold",28
"CHN",1992,"Summer","Gold",18
"DEN",1996,"Summer","Gold",21
"FIN",1996,"Summer","Gold",1
"NOR",1996,"Summer","Gold",2
"NED",1996,"Summer","Gold",38
"FRA",1996,"Summer","Gold",21
"ITA",1996,"Summer","Gold",19
"ESP",1996,"Summer","Gold",23
"RUS",1996,"Summer","Gold",36
"USA",1996,"Summer","Gold",159
"HUN",1996,"Summer","Gold",8
"AUS",1996,"Summer","Gold",32
"CAN",1996,"Summer","Gold",8
"URS",1996,"Summer","Gold",0
"JPN",1996,"Summer","Gold",3
"SUI",1996,"Summer","Gold",5
"GDR",1996,"Summer","Gold",0
"SWE",1996,"Summer","Gold",3
"GBR",1996,"Summer","Gold",2
"ROU",1996,"Summer","Gold",13
"GER",1996,"Summer","Gold",42
"POL",1996,"Summer","Gold",7
"TCH",1996,"Summer","Gold",0
"FRG",1996,"Summer","Gold",0
"KOR",1996,"Summer","Gold",10
"CHN",1996,"Summer","Gold",19
"DEN",2000,"Summer","Gold",18
"FIN",2000,"Summer","Gold",3
"NOR",2000,"Summer","Gold",20
"NED",2000,"Summer","Gold",27
"FRA",2000,"Summer","Gold",22
"ITA",2000,"Summer","Gold",22
"ESP",2000,"Summer","Gold",3
"RUS",2000,"Summer","Gold",66
"USA",2000,"Summer","Gold",130
"HUN",2000,"Summer","Gold",25
"AUS",2000,"Summer","Gold",60
"CAN",2000,"Summer","Gold",4
"URS",2000,"Summer","Gold",0
"JPN",2000,"Summer","Gold",5
